query_def_tech_label,top_def_tech_label,def_tactic_label,def_tactic_rel_label,def_tech_label,def_artifact_rel_label,def_artifact_label,off_artifact_label,off_artifact_rel_label,off_tech_label,off_tech_id,off_tech_parent_label,off_tech_parent_is_toplevel,off_tactic_rel_label,off_tactic_label,def_tactic,def_tactic_rel,def_tech,def_artifact_rel,def_artifact,off_artifact,off_artifact_rel,off_tech,off_tech_parent,off_tactic_rel,off_tactic
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Credential,creates,Additional Cloud Credentials,T1098.001,Account Manipulation,false,enables,Privilege Escalation,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#creates,http://d3fend.mitre.org/ontologies/d3fend.owl#T1098.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1098,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0004
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Encrypted Credential,accesses,NTDS,T1003.003,OS Credential Dumping,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedCredential,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1003.003,http://d3fend.mitre.org/ontologies/d3fend.owl#T1003,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Password,accesses,Password Cracking,T1110.002,Brute Force,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Password,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1110.002,http://d3fend.mitre.org/ontologies/d3fend.owl#T1110,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Password,accesses,Password Guessing,T1110.001,Brute Force,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Password,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1110.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1110,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Password,accesses,Password Spraying,T1110.003,Brute Force,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Password,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1110.003,http://d3fend.mitre.org/ontologies/d3fend.owl#T1110,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Session Cookie,accesses,Steal Web Session Cookie,T1539,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#SessionCookie,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1539,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Credential,accesses,Unsecured Credentials,T1552,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1552,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Session Cookie,adds,Web Session Cookie,T1550.004,Use Alternate Authentication Material,false,enables,Lateral Movement,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#SessionCookie,http://d3fend.mitre.org/ontologies/d3fend.owl#adds,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550.004,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0008
Token Binding,Credential Hardening,Harden,enables,Token Binding,strengthens,Access Token,Kerberos Ticket Granting Ticket,forges,Golden Ticket,T1558.001,Steal or Forge Kerberos Tickets,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TokenBinding,http://d3fend.mitre.org/ontologies/d3fend.owl#strengthens,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#KerberosTicketGrantingTicket,http://d3fend.mitre.org/ontologies/d3fend.owl#forges,http://d3fend.mitre.org/ontologies/d3fend.owl#T1558.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1558,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Kerberos Ticket Granting Ticket,forges,Golden Ticket,T1558.001,Steal or Forge Kerberos Tickets,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#KerberosTicketGrantingTicket,http://d3fend.mitre.org/ontologies/d3fend.owl#forges,http://d3fend.mitre.org/ontologies/d3fend.owl#T1558.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1558,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
